2026-01-06 20:56:25,605 | INFO | ADMIN | Admin login attempt: admin@gmail.com
2026-01-06 20:56:25,931 | INFO | ADMIN | Admin login successful: admin@gmail.com
2026-01-06 21:19:25,627 | INFO | ADMIN | Admin login attempt: admin@gmail.com
2026-01-06 21:19:25,808 | INFO | ADMIN | Admin login successful: admin@gmail.com
2026-01-06 21:19:30,794 | INFO | ADMIN | Admin resumes CSV export started
2026-01-06 21:19:30,811 | INFO | ADMIN | Resumes CSV export completed (4 rows)
2026-01-06 21:19:36,799 | INFO | ADMIN | GET /api/admin/users called
2026-01-06 21:19:36,814 | INFO | ADMIN | Fetched 3 users
2026-01-06 21:19:36,842 | INFO | ADMIN | Admin users CSV export started
2026-01-06 21:19:36,859 | INFO | ADMIN | Users CSV export completed (3 rows)
2026-01-06 21:19:39,762 | INFO | ADMIN | Admin resumes CSV export started
2026-01-06 21:19:39,777 | INFO | ADMIN | Resumes CSV export completed (4 rows)
2026-01-06 21:19:43,174 | INFO | ADMIN | GET /api/admin/users called
2026-01-06 21:19:43,189 | INFO | ADMIN | Fetched 3 users
2026-01-06 21:19:43,212 | INFO | ADMIN | Admin users CSV export started
2026-01-06 21:19:43,226 | INFO | ADMIN | Users CSV export completed (3 rows)
2026-01-06 21:19:47,597 | INFO | ADMIN | GET /api/admin/users called
2026-01-06 21:19:47,611 | INFO | ADMIN | Fetched 3 users
2026-01-06 21:19:47,646 | INFO | ADMIN | Blocking user: rathodmihir1113@gmail.com
2026-01-06 21:19:47,670 | INFO | ADMIN | User blocked: rathodmihir1113@gmail.com
2026-01-06 21:19:47,760 | INFO | ADMIN | GET /api/admin/users called
2026-01-06 21:19:47,777 | INFO | ADMIN | Fetched 3 users
2026-01-06 21:19:47,806 | INFO | ADMIN | Admin users CSV export started
2026-01-06 21:19:47,821 | INFO | ADMIN | Users CSV export completed (3 rows)
2026-01-06 21:19:49,217 | INFO | ADMIN | GET /api/admin/users called
2026-01-06 21:19:49,235 | INFO | ADMIN | Fetched 3 users
2026-01-06 21:19:49,262 | INFO | ADMIN | Unblocking user: rathodmihir1113@gmail.com
2026-01-06 21:19:49,280 | INFO | ADMIN | User unblocked: rathodmihir1113@gmail.com
2026-01-06 21:19:49,393 | INFO | ADMIN | GET /api/admin/users called
2026-01-06 21:19:49,407 | INFO | ADMIN | Fetched 3 users
2026-01-06 21:19:49,432 | INFO | ADMIN | Admin users CSV export started
2026-01-06 21:19:49,449 | INFO | ADMIN | Users CSV export completed (3 rows)
